27	10	20
28	10	20
57	8	15
58	10	20
59	20	40
60	35	70
61	50	100
62	65	130
63	80	160
64	10	20
65	20	40
66	35	70
67	50	100
68	65	130
69	80	160
70	20	40
71	35	70
72	50	100
73	65	130
74	80	160
75	10	20
76	20	40
77	35	70
78	50	100
79	65	130
80	80	160
81	20	40
82	35	70
83	50	100
84	65	130
85	80	160
86	10	20
87	20	40
88	35	70
89	50	100
90	65	130
91	80	160
92	10	20
93	20	40
94	35	70
95	50	100
96	65	130
97	80	160
99	10	20
100	16	32
101	25	50
102	33	66
103	10	20
104	16	32
105	25	50
106	33	66
107	10	20
108	16	32
109	25	50
110	33	66
111	10	20
112	16	32
113	25	50
114	33	66
115	10	20
116	16	32
117	25	50
118	33	66
119	10	20
120	16	32
121	25	50
122	33	66
123	10	20
124	16	32
125	25	50
126	33	66
127	10	20
128	16	32
129	25	50
130	33	66
131	10	20
132	16	32
133	25	50
134	33	66
135	10	20
136	16	32
137	25	50
138	33	66
139	10	20
140	16	32
141	25	50
142	33	66
143	10	20
144	16	32
145	25	50
146	33	66
147	10	20
148	16	32
149	25	50
150	33	66
151	10	20
152	16	32
153	25	50
154	33	66
1097	8	15
1481	8	15
1781	21	40
1783	40	80
1784	40	80
1785	40	80
1786	40	80
1787	40	80
1788	40	80
1789	40	80
1790	10	20
1791	12	24
1792	16	32
1793	20	40
1794	22	44
1795	26	52
1796	10	20
1797	12	24
1798	16	32
1799	20	40
1800	22	44
1801	26	52
1802	10	20
1803	12	24
1804	16	32
1805	20	40
1806	22	44
1807	26	52
1808	10	20
1809	12	24
1810	16	32
1811	20	40
1812	22	44
1813	26	52
1814	10	20
1815	12	24
1816	16	32
1817	20	40
1818	22	44
1819	26	52
1820	10	20
1821	12	24
1822	16	32
1823	20	40
1824	22	44
1825	26	52
1826	10	20
1827	12	24
1828	16	32
1829	20	40
1830	22	44
1831	26	52
1832	60	120
1833	60	120
1834	60	120
1835	60	120
1836	60	120
1837	60	120
1838	60	120
1839	30	60
1840	30	60
1841	30	60
1842	30	60
1843	30	60
1844	30	60
1845	30	60
2019	200	500
2030	121	180
2031	125	190
2032	121	180
2033	121	180
2034	85	130
2035	100	199
2036	121	180
2037	121	180
2038	85	130
2039	101	181
2042	150	300
2045	150	300
2120	40	80
2121	30	60
2122	110	180
2123	40	80
2124	40	80
2125	40	80
2126	40	80
2127	40	80
2128	110	180
2129	30	60
2130	40	80
2131	40	80
2132	110	180
2133	30	60
2134	40	80
2135	40	80
2136	110	180
2137	30	60
2138	40	80
2139	40	80
2140	110	180
2141	30	60
2142	40	80
2143	40	80
2144	110	180
2145	30	60
2146	110	180
2147	30	60
2366	100	200
2383	46	90
2637	160	200
2672	200	500
2673	200	500
2674	400	430
2699	150	200
2700	150	200
2701	150	200
2702	150	200
2703	150	200
2704	150	200
2710	150	200
2711	10	20
2712	20	40
2713	35	70
2714	50	100
2715	65	130
2716	80	160
2717	110	180
2718	10	20
2719	20	40
2720	35	70
2721	50	100
2722	65	130
2723	80	160
2724	110	180
2725	10	20
2726	20	40
2727	35	70
2728	50	100
2729	65	130
2730	80	160
2731	110	180
2732	10	20
2733	20	40
2734	35	70
2735	50	100
2736	65	130
2737	80	160
2738	110	180
2739	10	20
2740	20	40
2741	35	70
2742	50	100
2743	65	130
2744	80	160
2745	110	180
2746	10	20
2747	20	40
2748	35	70
2749	50	100
2750	65	130
2751	80	160
2752	110	180
2753	10	20
2754	20	40
2755	35	70
2756	50	100
2757	65	130
2758	80	160
2759	110	180
2781	200	200
2782	200	200
2783	200	200
2784	200	200
2791	2000	2000
2792	2000	2000
2793	2000	2000
2794	2000	2000
2814	61	120
2815	4	8
2816	7	13
2817	9	18
2818	16	30
2819	23	45
2820	32	60
2821	40	80
2822	4	8
2823	7	13
2824	9	18
2825	16	30
2826	23	45
2827	32	60
2828	40	80
2829	4	8
2830	7	13
2831	9	18
2832	16	30
2833	23	45
2834	32	60
2835	40	80
2836	4	8
2837	7	13
2838	9	18
2839	16	30
2840	23	45
2841	32	60
2842	40	80
2843	4	8
2844	7	13
2845	9	18
2846	16	30
2847	23	45
2848	32	60
2849	40	80
2850	4	8
2851	7	13
2852	9	18
2853	16	30
2854	23	45
2855	32	60
2856	40	80
2857	4	8
2858	7	13
2859	9	18
2860	16	30
2861	23	45
2862	32	60
2863	40	80
2864	4	8
2865	7	13
2866	9	18
2867	16	30
2868	23	45
2869	32	60
2870	40	80
2871	4	8
2872	7	13
2873	9	18
2874	16	30
2875	23	45
2876	32	60
2877	40	80
2878	4	8
2879	7	13
2880	9	18
2881	16	30
2882	23	45
2883	32	60
2884	40	80
2885	4	8
2886	7	13
2887	9	18
2888	16	30
2889	23	45
2890	32	60
2891	40	80
2892	4	8
2893	7	13
2894	9	18
2895	16	30
2896	23	45
2897	32	60
2898	40	80
2899	4	8
2900	7	13
2901	9	18
2902	16	30
2903	23	45
2904	32	60
2905	40	80
2906	4	8
2907	7	13
2908	9	18
2909	16	30
2910	23	45
2911	32	60
2912	40	80
2913	4	8
2914	7	13
2915	9	18
2916	16	30
2917	23	45
2918	32	60
2919	40	80
2920	4	8
2921	7	13
2922	9	18
2923	16	30
2924	23	45
2925	32	60
2926	40	80
2934	41	100
2970	70	180
2976	21	40
2998	40	60
3025	40	80
3107	100	210
3108	100	220
3109	100	220
3110	100	220
3111	100	220
3112	100	220
3113	100	200
3114	100	200
3115	100	200
3116	100	200
3117	100	200
3118	100	210
3119	100	210
3120	100	210
3121	100	210
3122	100	150
3123	100	150
3241	55	60
3426	100	220
3427	100	200
3428	100	210
3451	120	220
3452	80	200
3453	80	200
3454	120	220
3455	80	200
3456	120	200
3457	50	150
3458	50	100
3459	80	200
3460	120	220
3653	8	15
3654	4	10
3655	8	15
3656	10	20
