+	32	8
0	0
23147	23177
5150	5150
21184	23177
21184	23177
23146	23176
23146	23176
21183	23174
21183	23174
21185	23175
21185	23175
5151	5151
21186	23175
21186	23175
21187	23175
21187	23175
+	40	8
0	0
21173	23177
21174	23175
21175	23175
21176	23175
7930	23176
7931	23176
21171	23176
21172	23176
4623	23174
5149	5149
7890	23175
7890	23175
7927	23175
7928	23175
7929	23175
+	56	8
0	0
23162	23177
23152	23177
23159	23176
23159	23176
23160	23176
23161	23176
23151	23174
23151	23174
23153	23175
23154	23175
23156	23175
23157	23175
23158	23175
23155	23175
23155	23175
+	56	32
0	0
23162	23147
23152	21184
23159	23146
23159	23146
23160	23146
23161	23146
23151	21183
23151	21183
23153	21185
23154	21185
23156	21186
23157	21185
23158	21185
23155	21185
23155	21185
+	72	40
0	0
23173	21173
23163	21173
23165	21173
5151	5149
23172	7930
23172	7931
23164	4623
23164	4623
23166	7890
23166	7890
23167	7927
23168	7928
23169	7890
23170	7929
23171	7890
+	40	16
0	0
21173	23186
21174	23187
21175	23188
21176	23189
7930	23185
7931	23185
21171	23185
21172	23185
4623	23182
5149	5149
7890	23184
7890	23184
7927	23184
7928	23184
7929	23184
+	72	16
0	0
23173	23186
23163	23186
23165	23186
5151	5149
23172	23185
23172	23185
23164	23182
23164	23183
23166	23184
23166	23184
23167	23184
23168	23184
23169	23184
23170	23184
23171	23184
+	16	40
0	0
23186	21173
5149	5149
23187	21174
23187	21174
23188	21175
23188	21175
23189	21176
23189	21176
23185	7930
23185	7930
23182	4623
23182	4623
23184	7890
23184	7890
23183	4623
+	80	56
0	0
4584	23162
4584	23162
4583	23159
4583	23159
1979	23151
1970	23155
1980	23153
1980	23153
2002	23154
2002	23154
2003	23156
2003	23156
2004	23157
2004	23157
4171	23158
+	48	24
0	0
21180	23181
5151	5151
21177	23178
21177	23178
21177	23178
21177	23178
21177	23178
21178	23179
21178	23179
21179	23180
21179	23180
21181	23180
21181	23180
21182	23180
21182	23180
+	48	16
0	0
21180	23186
5151	5149
21177	23185
21177	23185
21177	23185
21177	23185
21177	23185
21178	23185
21178	23185
21179	23184
21179	23184
21181	23185
21181	23185
21182	23184
21182	23184
+	32	24
0	0
23147	23181
5150	5151
21184	23181
21184	23181
23146	23178
23146	23178
21183	23180
21183	23180
21185	23179
21185	23179
5151	5151
21186	23180
21186	23180
21187	23179
21187	23179
+	40	24
0	0
21173	23181
21174	23180
21175	23180
21176	23180
7930	23179
7931	23179
21171	23179
21172	23179
4623	23180
5149	5151
7890	23179
7890	23179
7927	23180
7928	23179
7929	23180
+	32	40
0	0
23147	21173
5150	5150
21184	21173
21184	21173
23146	7930
23146	7930
21183	4623
21183	4623
21185	7890
21185	7890
5151	5149
21186	7927
21186	7927
21187	7928
21187	7928
+	32	40
0	0
23147	21173
5150	5150
21184	21173
21184	21173
23146	7930
23146	7930
21183	4623
21183	4623
21185	7890
21185	7890
5151	5149
21186	7927
21186	7927
21187	7928
21187	7928
